Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Brekke I Sogn;SN52930;04.10.1939;0
Brekke I Sogn;SN52930;05.10.1939;0
Brekke I Sogn;SN52930;06.10.1939;0
Brekke I Sogn;SN52930;07.10.1939;0
Brekke I Sogn;SN52930;08.10.1939;0
Brekke I Sogn;SN52930;09.10.1939;0
Brekke I Sogn;SN52930;10.10.1939;0
Brekke I Sogn;SN52930;11.10.1939;0
Brekke I Sogn;SN52930;12.10.1939;0
Brekke I Sogn;SN52930;13.10.1939;0
Brekke I Sogn;SN52930;14.10.1939;0
Brekke I Sogn;SN52930;15.10.1939;0
Brekke I Sogn;SN52930;16.10.1939;0
Brekke I Sogn;SN52930;17.10.1939;0
Brekke I Sogn;SN52930;18.10.1939;0
Brekke I Sogn;SN52930;19.10.1939;0
Brekke I Sogn;SN52930;20.10.1939;17,1
Brekke I Sogn;SN52930;21.10.1939;0
Brekke I Sogn;SN52930;22.10.1939;10,9
Brekke I Sogn;SN52930;23.10.1939;41,5
Brekke I Sogn;SN52930;24.10.1939;20,5
Brekke I Sogn;SN52930;25.10.1939;35,1
Brekke I Sogn;SN52930;26.10.1939;2,5
Brekke I Sogn;SN52930;27.10.1939;0
Brekke I Sogn;SN52930;28.10.1939;0
Brekke I Sogn;SN52930;29.10.1939;0
Brekke I Sogn;SN52930;30.10.1939;0
Brekke I Sogn;SN52930;31.10.1939;0
Brekke I Sogn;SN52930;01.11.1939;0
Brekke I Sogn;SN52930;02.11.1939;0
Brekke I Sogn;SN52930;03.11.1939;0
Brekke I Sogn;SN52930;04.11.1939;0
Brekke I Sogn;SN52930;05.11.1939;10,5
Brekke I Sogn;SN52930;06.11.1939;0
Brekke I Sogn;SN52930;07.11.1939;9,1
Brekke I Sogn;SN52930;08.11.1939;9,8
Brekke I Sogn;SN52930;09.11.1939;32
Brekke I Sogn;SN52930;10.11.1939;30,9
Brekke I Sogn;SN52930;11.11.1939;49
Brekke I Sogn;SN52930;12.11.1939;48,7
Brekke I Sogn;SN52930;13.11.1939;25,1
Brekke I Sogn;SN52930;14.11.1939;30,6
Brekke I Sogn;SN52930;15.11.1939;37,2
Brekke I Sogn;SN52930;16.11.1939;19,7
Brekke I Sogn;SN52930;17.11.1939;5,8
Brekke I Sogn;SN52930;18.11.1939;0
Brekke I Sogn;SN52930;19.11.1939;3,3
Brekke I Sogn;SN52930;20.11.1939;9,5
Brekke I Sogn;SN52930;21.11.1939;0
Brekke I Sogn;SN52930;22.11.1939;10,4
Brekke I Sogn;SN52930;23.11.1939;64,5
Brekke I Sogn;SN52930;24.11.1939;21,3
Brekke I Sogn;SN52930;25.11.1939;26
Brekke I Sogn;SN52930;26.11.1939;11,5
Brekke I Sogn;SN52930;27.11.1939;65,8
Brekke I Sogn;SN52930;28.11.1939;14,9
Brekke I Sogn;SN52930;29.11.1939;9,7
Brekke I Sogn;SN52930;30.11.1939;42,1
Brekke I Sogn;SN52930;01.12.1939;30,3
Brekke I Sogn;SN52930;02.12.1939;24,4
Brekke I Sogn;SN52930;03.12.1939;15,5
Brekke I Sogn;SN52930;04.12.1939;0
Brekke I Sogn;SN52930;05.12.1939;0
Brekke I Sogn;SN52930;06.12.1939;0
Brekke I Sogn;SN52930;07.12.1939;0
Brekke I Sogn;SN52930;08.12.1939;0
Brekke I Sogn;SN52930;09.12.1939;0
Brekke I Sogn;SN52930;10.12.1939;0
Brekke I Sogn;SN52930;11.12.1939;0
Brekke I Sogn;SN52930;12.12.1939;0
